"id"	"sex"	"pop"
"1"	"NA18526"	2	1
"2"	"NA18524"	1	1
"3"	"NA18529"	2	1
"4"	"NA18558"	1	1
"5"	"NA18532"	2	1
"6"	"NA18561"	1	1
"7"	"NA18562"	1	1
"8"	"NA18537"	2	2
"9"	"NA18603"	1	2
"10"	"NA18540"	2	1
"11"	"NA18605"	1	1
"12"	"NA18542"	2	1
"13"	"NA18545"	2	1
"14"	"NA18572"	1	2
"15"	"NA18547"	2	2
"16"	"NA18609"	1	1
"17"	"NA18550"	2	1
"18"	"NA18608"	1	1
"19"	"NA18552"	2	1
"20"	"NA18611"	1	1
"21"	"NA18555"	2	1
"22"	"NA18564"	2	2
"23"	"NA18566"	2	1
"24"	"NA18563"	1	1
"25"	"NA18570"	2	1
"26"	"NA18612"	1	2
"27"	"NA18571"	2	1
"28"	"NA18620"	1	1
"29"	"NA18621"	1	1
"30"	"NA18594"	2	1
"31"	"NA18622"	1	2
"32"	"NA18573"	2	2
"33"	"NA18623"	1	1
"34"	"NA18576"	2	1
"35"	"NA18577"	2	1
"36"	"NA18624"	1	1
"37"	"NA18579"	2	1
"38"	"NA18632"	1	2
"39"	"NA18582"	2	1
"40"	"NA18633"	1	1
"41"	"NA18635"	1	2
"42"	"NA18592"	2	1
"43"	"NA18636"	1	1
"44"	"NA18593"	2	2
"45"	"NA18637"	1	1
"46"	"NA18942"	2	2
"47"	"NA18940"	1	2
"48"	"NA18951"	2	2
"49"	"NA18943"	1	2
"50"	"NA18947"	2	2
"51"	"NA18944"	1	2
"52"	"NA18945"	1	2
"53"	"NA18949"	2	2
"54"	"NA18948"	1	2
"55"	"NA18952"	1	2
"56"	"NA18956"	2	2
"57"	"NA18964"	2	2
"58"	"NA18953"	1	1
"59"	"NA18968"	2	2
"60"	"NA18959"	1	2
"61"	"NA18969"	2	1
"62"	"NA18960"	1	2
"63"	"NA18961"	1	2
"64"	"NA18972"	2	2
"65"	"NA18965"	1	2
"66"	"NA18973"	2	2
"67"	"NA18966"	1	2
"68"	"NA18975"	2	2
"69"	"NA18967"	1	2
"70"	"NA18976"	2	1
"71"	"NA18978"	2	2
"72"	"NA18970"	1	1
"73"	"NA18980"	2	2
"74"	"NA18995"	1	1
"75"	"NA18981"	2	2
"76"	"NA18971"	1	2
"77"	"NA18974"	1	1
"78"	"NA18987"	2	2
"79"	"NA18990"	1	1
"80"	"NA18991"	2	2
"81"	"NA18994"	1	2
"82"	"NA18992"	2	2
"83"	"NA18997"	2	2
"84"	"NA18998"	2	2
"85"	"NA19000"	1	2
"86"	"NA19005"	1	2
"87"	"NA18999"	2	2
"88"	"NA19007"	1	2
"89"	"NA19003"	2	2
"90"	"NA19012"	1	2
